Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
Clarke County,"9,690","6,680","6,540",140,2.1,10,"3,000",
Clifton Forge city,"3,310","1,830","1,690",130,7.1,10,"1,470",
Colonial Heights city,"13,300","8,400","8,210",190,2.3,100,"4,810",
Covington city,"5,080","2,820","2,700",120,4.3,0,"2,260",
Craig County,"3,980","2,440","2,370",70,2.9,0,"1,540",
Culpeper County,"24,880","16,800","16,280",520,3.1,10,"8,070",
Cumberland County,"6,990","4,170","4,040",130,3.1,0,"2,820",
Danville city,"36,710","21,420","19,660","1,760",8.2,30,"15,260",
Dickenson County,"13,120","5,540","5,140",400,7.2,0,"7,590",
Dinwiddie County,"18,250","11,880","11,450",440,3.7,80,"6,290",
Emporia city,"4,090","2,390","2,240",150,6.3,10,"1,700",
Essex County,"7,780","4,980","4,820",160,3.2,20,"2,770",
Fairfax County,"740,270","534,140","520,850","13,290",2.5,"12,230","193,900",
Fairfax city,"17,170","12,130","11,840",290,2.4,150,"4,890",
Falls Church city,"8,190","6,030","5,860",180,3.0,40,"2,120",
Fauquier County,"41,470","29,320","28,610",720,2.5,80,"12,070",
Floyd County,"11,110","6,860","6,610",250,3.6,0,"4,250",
Fluvanna County,"14,920","10,100","9,810",290,2.9,30,"4,790",
Franklin County,"36,870","23,340","22,640",700,3.0,40,"13,500",
Franklin city,"6,290","3,660","3,400",260,7.1,10,"2,620",
Frederick County,"44,640","31,630","30,860",780,2.5,70,"12,950",
Fredericksburg city,"13,810","9,650","9,130",520,5.4,90,"4,080",
Galax city,"5,280","3,160","3,070",80,2.5,0,"2,130",
Giles County,"13,310","7,780","7,360",420,5.4,10,"5,530",
Gloucester County,"26,420","17,350","16,700",660,3.8,490,"8,580",
Goochland County,"12,390","8,570","8,440",130,1.5,0,"3,820",
Grayson County,"13,690","8,190","7,900",290,3.5,0,"5,500",
Greene County,"11,350","8,290","8,090",200,2.4,0,"3,060",
Greensville County,"6,700","3,970","3,800",180,4.5,10,"2,720",
Halifax County,"28,730","16,200","15,080","1,130",7.0,10,"12,520",
Hampton city,"102,660","63,750","60,340","3,410",5.3,"6,530","32,390",
Hanover County,"63,490","45,720","44,730",990,2.2,70,"17,710",
Harrisonburg city,"27,820","18,070","17,040","1,030",5.7,60,"9,690",
Henrico County,"200,770","142,800","138,730","4,070",2.9,220,"57,750",
Henry County,"45,980","28,340","26,840","1,510",5.3,40,"17,600",
Highland County,"2,100","1,200","1,120",80,6.7,10,900,
Hopewell city,"16,580","10,050","9,380",670,6.7,90,"6,440",
Isle of Wight County,"22,900","14,630","14,060",560,3.8,160,"8,110",
James City County,"37,000","22,630","21,970",660,2.9,330,"14,050",
King George County,"12,280","8,200","7,850",350,4.3,300,"3,790",
King William County,"10,000","6,910","6,690",220,3.2,20,"3,070",
King and Queen County,"5,320","3,140","3,010",130,4.1,10,"2,170",
Lancaster County,"9,190","4,670","4,370",300,6.4,0,"4,520",
Lee County,"18,680","9,050","8,330",710,7.8,10,"9,620",
Lexington city,"3,930","1,880","1,830",50,2.7,0,"2,060",
Loudoun County,"122,640","95,130","93,220","1,910",2.0,500,"27,010",
Louisa County,"19,770","12,580","12,180",400,3.2,0,"7,180",
Lunenberg County,"9,460","5,420","5,140",280,5.2,0,"4,030",
Lynchburg city,"45,830","28,330","27,230","1,100",3.9,30,"17,460",
Madison County,"9,660","6,330","6,170",160,2.5,10,"3,320",
Manassas Park city,"7,350","5,640","5,510",130,2.3,30,"1,680",
Manassas city,"24,880","18,880","18,210",670,3.5,170,"5,840",
Martinsville city,"11,660","6,600","6,030",570,8.6,20,"5,040",
Mathews County,"7,500","4,180","4,050",130,3.1,60,"3,260",
Mecklenburg County,"24,700","14,430","13,550",890,6.2,10,"10,260",
Middlesex County,"7,960","4,460","4,290",180,4.0,10,"3,480",
Montgomery County,"61,640","38,930","37,490","1,440",3.7,100,"22,610",
Nelson County,"11,580","7,050","6,730",310,4.4,30,"4,500",
New Kent County,"10,120","7,230","6,950",280,3.9,60,"2,830",
Newport News city,"129,740","82,060","77,660","4,400",5.4,"7,330","40,350",
Norfolk city,"160,640","92,680","85,580","7,100",7.7,"11,580","56,380",
Northampton County,"10,080","5,410","5,070",340,6.3,20,"4,660",
Northumberland County,"10,230","5,100","4,890",200,3.9,0,"5,130",
Norton city,"3,120","1,570","1,460",110,7.0,0,"1,550",
Nottoway County,"10,850","6,330","5,970",360,5.7,40,"4,490",
Orange County,"20,070","12,470","12,110",360,2.9,10,"7,590",
Page County,"18,240","11,500","11,050",450,3.9,10,"6,730",
Patrick County,"15,430","9,360","9,020",330,3.5,0,"6,070",
Petersburg city,"25,360","14,230","13,170","1,060",7.4,350,"10,790",
Pittsylvania County,"48,880","30,900","29,590","1,310",4.2,40,"17,940",
Poquoson city,"8,740","5,730","5,550",180,3.1,180,"2,830",
Portsmouth city,"72,820","43,420","40,240","3,180",7.3,"2,010","27,390",
Powhatan County,"15,190","10,840","10,640",200,1.8,0,"4,360",
Prince Edward County,"12,470","7,420","7,020",400,5.4,20,"5,030",
Prince George County,"20,740","12,810","12,280",530,4.1,"1,440","6,490",
Prince William County,"201,740","149,110","144,670","4,440",3.0,"6,580","46,050",
Pulaski County,"27,550","17,320","16,430",900,5.2,10,"10,220",
Radford city,"11,180","6,680","6,460",220,3.3,10,"4,490",
Rappahannock County,"5,560","3,670","3,590",80,2.2,0,"1,890",
Richmond County,"5,650","3,330","3,200",140,4.2,20,"2,300",
Richmond city,"147,590","94,180","88,340","5,830",6.2,320,"53,100",
Roanoke County,"66,280","44,600","43,730",870,2.0,40,"21,630",
Roanoke city,"72,860","46,540","44,340","2,200",4.7,80,"26,240",
Rockbridge County,"16,600","10,500","10,120",380,3.6,30,"6,080",
Rockingham County,"51,260","35,150","34,260",890,2.5,20,"16,090",
Russell County,"23,330","11,610","10,860",750,6.5,20,"11,700",
Salem city,"18,520","12,200","11,860",340,2.8,40,"6,290",
Scott County,"18,740","9,830","9,250",580,5.9,0,"8,910",
Shenandoah County,"27,590","18,160","17,690",480,2.6,50,"9,380",
Smyth County,"25,710","15,580","14,870",710,4.6,10,"10,120",
Southampton County,"12,440","7,460","7,110",350,4.7,40,"4,940",
Spotsylvania County,"65,620","47,020","45,650","1,380",2.9,600,"18,000",
Stafford County,"64,880","46,950","45,560","1,390",3.0,"2,540","15,390",
Staunton city,"17,130","11,170","10,790",380,3.4,10,"5,960",
Suffolk city,"46,770","28,910","27,520","1,390",4.8,"1,410","16,450",
Surry County,"5,290","3,370","3,200",180,5.3,0,"1,910",
Sussex County,"7,730","4,500","4,260",240,5.3,0,"3,230",
Tazewell County,"35,430","18,940","17,520","1,410",7.4,0,"16,500",
Virginia Beach city,"313,700","202,820","194,760","8,070",4.0,"26,880","83,990",
Warren County,"23,840","16,030","15,560",470,2.9,10,"7,800",
Washington County,"40,500","24,490","23,600",900,3.7,10,"16,000",
Waynesboro city,"15,030","9,250","8,640",610,6.6,60,"5,720",
Westmoreland County,"13,200","7,410","7,110",310,4.2,40,"5,750",
Williamsburg city,"6,430","3,840","3,730",110,2.9,50,"2,550",
Winchester city,"18,290","12,290","11,770",520,4.2,50,"5,960",
Wise County,"31,000","15,770","14,670","1,100",7.0,0,"15,230",
Wythe County,"21,970","13,790","13,200",590,4.3,30,"8,150",
York County,"41,230","26,130","25,410",720,2.8,"3,060","12,040",
Washington,"4,420,340","2,943,910","2,775,590","168,320",5.7,"34,270","1,442,150",Washington
Adams County,"11,220","7,100","6,490",610,8.6,0,"4,120",
Asotin County,"15,640","9,800","9,200",600,6.1,20,"5,820",
Benton County,"104,300","70,490","66,220","4,270",6.1,60,"33,750",
Chelan County,"49,130","31,630","28,400","3,230",10.2,30,"17,480",
Clallam County,"50,350","26,380","24,410","1,970",7.5,210,"23,760",
Clark County,"253,470","173,330","163,570","9,760",5.6,660,"79,480",
Columbia County,"3,150","1,880","1,720",160,8.5,0,"1,270",
Cowlitz County,"69,600","43,110","39,870","3,240",7.5,40,"26,450",
Douglas County,"23,780","15,500","14,140","1,360",8.8,10,"8,270",
Ferry County,"5,440","3,140","2,600",550,17.5,0,"2,300",
Franklin County,"33,350","21,800","19,510","2,290",10.5,0,"11,560",
Garfield County,"1,840","1,030",980,50,4.9,0,810,
Grant County,"52,310","32,970","29,290","3,680",11.2,20,"19,320",
Grays Harbor County,"51,460","30,010","27,540","2,470",8.2,50,"21,400",
Island County,"53,790","28,610","27,000","1,610",5.6,"5,030","20,150",
Jefferson County,"21,330","11,570","10,860",710,6.1,60,"9,700",
King County,"1,353,110","960,120","921,270","38,850",4.0,"1,490","391,500",
Kitsap County,"170,000","104,190","97,990","6,200",6.0,"7,930","57,890",
Kittitas County,"25,290","16,100","14,820","1,280",8.0,20,"9,170",
Klickitat County,"14,360","8,730","7,820",920,10.5,0,"5,630",
Lewis County,"51,800","29,400","26,860","2,540",8.6,40,"22,360",
Lincoln County,"7,860","4,430","4,150",270,6.1,30,"3,410",
Mason County,"36,970","21,000","19,270","1,730",8.2,150,"15,820",
Okanogan County,"29,180","17,200","15,300","1,900",11.0,10,"11,970",
Pacific County,"16,780","8,660","7,990",670,7.7,50,"8,070",
Pend Oreille County,"8,980","4,500","4,040",460,10.2,0,"4,490",
Pierce County,"509,930","331,520","311,560","19,970",6.0,"10,510","167,890",
San Juan County,"11,490","6,800","6,600",200,2.9,0,"4,690",
Skagit County,"77,640","48,800","45,550","3,250",6.7,560,"28,280",
Skamania County,"7,540","4,880","4,340",540,11.1,10,"2,650",
Snohomish County,"449,190","316,300","301,630","14,680",4.6,"2,600","130,290",
Spokane County,"309,550","202,750","190,050","12,700",6.3,"2,410","104,390",
Stevens County,"29,780","17,230","15,550","1,680",9.8,30,"12,520",
Thurston County,"158,340","105,910","100,080","5,830",5.5,"1,980","50,460",
Wahkiakum County,"3,000","1,690","1,550",140,8.3,0,"1,310",
Walla Walla County,"38,170","24,050","22,190","1,860",7.7,10,"14,110",
Whatcom County,"126,280","84,580","79,750","4,840",5.7,120,"41,580",
Whitman County,"28,780","18,420","17,540",880,4.8,20,"10,340",
Yakima County,"156,160","98,300","87,890","10,410",10.6,110,"57,740",
West Virginia,"1,412,720","780,400","727,120","53,280",6.8,"1,580","630,740",West Virginia
Barbour County,"11,980","6,410","5,890",520,8.1,10,"5,560",
Berkeley County,"57,610","37,740","36,130","1,620",4.3,170,"19,700",
Boone County,"20,170","9,610","8,790",820,8.5,10,"10,560",
Braxton County,"11,240","5,590","5,110",490,8.8,20,"5,630",
Brooke County,"20,030","11,150","10,680",470,4.2,40,"8,840",
Cabell County,"76,480","43,560","40,660","2,900",6.7,80,"32,850",
Calhoun County,"6,110","2,890","2,540",340,11.8,0,"3,230",
Clay County,"7,950","3,610","3,200",420,11.6,0,"4,340",
Doddridge County,"5,760","2,860","2,610",250,8.7,10,"2,900",
Fayette County,"36,590","17,930","16,140","1,790",10.0,40,"18,630",
Gilmer County,"5,510","2,700","2,330",370,13.7,0,"2,820",
Grant County,"8,840","5,320","5,020",310,5.8,0,"3,520",
Greenbrier County,"27,330","14,700","13,490","1,210",8.2,10,"12,620",
Hampshire County,"15,430","9,020","8,570",450,5.0,20,"6,390",
Hancock County,"26,300","15,330","14,480",850,5.5,30,"10,950",
Hardy County,"9,930","6,350","6,130",220,3.5,0,"3,570",
Harrison County,"53,630","30,260","28,070","2,200",7.3,50,"23,330",
Jackson County,"21,740","12,190","11,470",720,5.9,20,"9,520",
Jefferson County,"32,200","22,030","21,140",890,4.0,60,"10,110",
Kanawha County,"159,270","93,630","88,650","4,980",5.3,250,"65,390",
Lewis County,"13,420","7,290","6,740",550,7.5,40,"6,100",
Lincoln County,"17,540","8,030","7,230",800,10.0,0,"9,510",
Logan County,"29,980","13,730","12,280","1,440",10.5,0,"16,250",
Marion County,"45,130","25,360","23,480","1,880",7.4,10,"19,760",
Marshall County,"27,480","15,430","14,440",990,6.4,10,"12,040",
Mason County,"20,520","10,410","9,360","1,050",10.1,20,"10,100",
McDowell County,"21,510","7,050","6,040","1,020",14.5,0,"14,460",
Mercer County,"49,930","25,390","23,360","2,030",8.0,40,"24,500",
Mineral County,"20,960","12,380","11,740",650,5.3,10,"8,570",
Mingo County,"22,150","9,010","8,050",970,10.8,10,"13,130",
Monongalia County,"63,060","38,550","36,220","2,330",6.0,80,"24,430",
Monroe County,"10,510","5,560","5,270",290,5.2,10,"4,940",
Morgan County,"11,800","6,940","6,660",280,4.0,10,"4,850",
Nicholas County,"20,920","10,700","9,880",820,7.7,10,"10,220",
Ohio County,"35,940","21,280","19,880","1,400",6.6,10,"14,640",
Pendleton County,"6,460","3,790","3,520",260,6.9,100,"2,580",
Pleasants County,"5,670","3,190","2,980",210,6.6,0,"2,480",
Pocahontas County,"7,150","3,880","3,630",240,6.2,0,"3,270",
Preston County,"23,000","12,910","12,040",870,6.7,20,"10,070",
Putnam County,"39,820","24,980","23,890","1,090",4.4,90,"14,750",
Raleigh County,"60,640","31,480","29,150","2,330",7.4,180,"28,990",
Randolph County,"21,200","12,260","11,580",680,5.5,10,"8,940",
Ritchie County,"8,240","4,340","4,010",330,7.6,0,"3,900",
Roane County,"12,200","6,260","5,480",790,12.6,10,"5,930",
Summers County,"10,560","4,810","4,210",600,12.5,10,"5,740",
Taylor County,"12,390","6,770","6,280",490,7.2,10,"5,610",
Tucker County,"5,890","3,250","3,000",250,7.7,0,"2,630",
Tyler County,"7,550","3,850","3,480",370,9.6,0,"3,690",
Upshur County,"17,400","9,470","8,770",700,7.4,20,"7,920",
Wayne County,"33,940","17,250","16,180","1,070",6.2,10,"16,680",
Webster County,"7,760","3,400","2,910",500,14.7,10,"4,350",
Wetzel County,"13,850","6,980","6,280",700,10.0,0,"6,870",
Wirt County,"4,560","2,410","2,260",150,6.2,0,"2,150",
Wood County,"68,920","40,770","38,200","2,560",6.3,80,"28,070",
Wyoming County,"20,580","8,370","7,580",790,9.4,0,"12,210",
Wisconsin,"4,003,480","2,823,220","2,705,080","118,150",4.2,"2,740","1,177,510",Wisconsin
Adams County,"14,970","8,450","7,850",600,7.1,0,"6,520",
Ashland County,"12,350","8,130","7,590",550,6.8,0,"4,220",
Barron County,"34,450","23,680","22,580","1,100",4.6,10,"10,760",
Bayfield County,"11,700","7,360","6,750",610,8.3,10,"4,330",
Brown County,"166,610","122,700","118,630","4,060",3.3,130,"43,780",
Buffalo County,"10,620","7,490","7,210",280,3.7,0,"3,130",
Burnett County,"12,430","7,310","6,890",420,5.7,0,"5,120",
Calumet County,"29,940","22,730","22,230",490,2.2,0,"7,210",
Chippewa County,"41,440","28,850","27,520","1,330",4.6,40,"12,560",
Clark County,"24,280","16,540","15,860",680,4.1,10,"7,730",
Columbia County,"39,300","28,290","27,320",980,3.5,60,"10,950",
Crawford County,"12,770","8,670","8,250",420,4.8,10,"4,090",
Dane County,"325,830","250,040","242,120","7,920",3.2,340,"75,450",
Dodge County,"61,650","44,510","43,130","1,380",3.1,20,"17,120",
Door County,"22,330","14,680","13,890",790,5.4,10,"7,640",
Douglas County,"33,090","21,820","20,340","1,480",6.8,70,"11,200",
Dunn County,"28,760","20,710","19,680","1,020",4.9,20,"8,030",
Eau Claire County,"69,010","49,440","47,470","1,970",4.0,30,"19,540",
Florence County,"3,990","2,500","2,350",140,5.6,0,"1,500",
Fond duLac County,"71,830","52,440","50,760","1,680",3.2,30,"19,360",
Forest County,"7,460","4,310","3,980",340,7.9,0,"3,140",
Grant County,"36,180","25,020","24,100",910,3.6,10,"11,160",
Green County,"25,340","18,750","18,180",570,3.0,10,"6,580",
Green Lake County,"14,830","9,990","9,630",360,3.6,20,"4,820",
Iowa County,"17,090","13,010","12,610",390,3.0,10,"4,080",
Iron County,"5,630","3,150","2,870",280,8.9,10,"2,480",
Jackson County,"13,590","9,300","8,780",520,5.6,20,"4,270",
Jefferson County,"55,520","40,780","39,390","1,390",3.4,40,"14,700",
Juneau County,"18,530","12,020","11,320",700,5.8,50,"6,450",
Kenosha County,"109,520","76,040","72,180","3,850",5.1,270,"33,220",
Kewaunee County,"15,330","10,960","10,700",250,2.3,0,"4,380",
La Crosse County,"79,560","57,630","55,420","2,210",3.8,40,"21,890",
Lafayette County,"12,230","8,700","8,500",200,2.3,10,"3,520",
Langlade County,"16,140","10,280","9,700",580,5.6,0,"5,850",
Lincoln County,"22,460","15,270","14,530",740,4.8,10,"7,190",
Manitowoc County,"62,920","44,340","42,860","1,480",3.3,20,"18,550",
Marathon County,"94,750","68,710","66,390","2,310",3.4,30,"26,020",
Marinette County,"33,120","20,970","20,020",950,4.5,50,"12,100",
Marquette County,"11,520","6,970","6,620",350,5.0,10,"4,540",
Menominee County,"2,950","1,680","1,400",280,16.7,0,"1,270",
Milwaukee County,"694,910","462,240","432,070","30,160",6.5,410,"232,260",
Monroe County,"29,860","20,750","19,780",970,4.7,300,"8,800",
Oconto County,"27,200","18,390","17,680",720,3.9,0,"8,800",
Oneida County,"28,700","18,180","17,190",990,5.4,20,"10,510",
Outagamie County,"118,520","87,400","84,740","2,660",3.0,60,"31,060",
Ozaukee County,"61,130","44,480","43,530",950,2.1,40,"16,610",
Pepin County,"5,450","3,750","3,580",170,4.5,0,"1,700",
Pierce County,"26,550","20,530","19,920",610,3.0,30,"5,990",
Polk County,"31,280","21,370","20,550",830,3.9,20,"9,890",
Portage County,"49,630","35,940","34,530","1,410",3.9,10,"13,690",
Price County,"12,300","7,870","7,420",450,5.7,0,"4,420",
Racine County,"138,310","95,440","90,900","4,550",4.8,70,"42,800",
Richland County,"13,690","9,250","8,860",400,4.3,0,"4,430",
Rock County,"113,290","79,910","75,630","4,280",5.4,10,"33,370",
Rusk County,"11,640","7,380","6,910",470,6.4,10,"4,250",
Sauk County,"41,630","30,150","29,080","1,070",3.5,20,"11,470",
Sawyer County,"12,480","7,690","7,180",500,6.5,0,"4,790",
Shawano County,"30,740","20,820","20,040",790,3.8,10,"9,910",
Sheboygan County,"84,060","60,670","59,130","1,540",2.5,20,"23,370",
St. Croix County,"46,590","35,750","34,900",850,2.4,30,"10,820",
Taylor County,"14,800","10,350","9,840",510,4.9,10,"4,440",
Trempealeau County,"20,390","14,460","13,980",480,3.3,0,"5,920",
Vernon County,"20,790","13,660","13,110",550,4.0,20,"7,110",
Vilas County,"16,950","9,860","9,260",590,6.0,0,"7,100",
Walworth County,"68,600","49,300","47,440","1,860",3.8,60,"19,240",
Washburn County,"12,510","7,600","7,150",460,6.1,10,"4,900",
Washington County,"88,390","66,350","64,650","1,700",2.6,50,"21,990",
Waukesha County,"271,780","199,740","194,450","5,290",2.6,70,"71,970",
Waupaca County,"38,290","26,210","25,330",880,3.4,20,"12,070",
Waushara County,"17,930","11,050","10,520",530,4.8,0,"6,870",
Winnebago County,"115,660","83,380","80,840","2,540",3.0,40,"32,240",
Wood County,"57,410","39,130","37,290","1,840",4.7,20,"18,260",
Wyoming,"368,170","251,760","239,030","12,720",5.1,"2,900","113,510",Wyoming
Albany County,"24,460","17,100","16,390",720,4.2,30,"7,330",
Big Horn County,"8,370","5,100","4,790",310,6.1,10,"3,250",
Campbell County,"24,240","18,750","17,940",820,4.4,0,"5,490",
Carbon County,"11,400","7,740","7,330",410,5.3,0,"3,670",
Converse County,"9,020","6,240","5,950",290,4.6,10,"2,770",
Crook County,"4,460","2,920","2,820",100,3.4,0,"1,540",
Fremont County,"26,400","17,420","15,930","1,490",8.6,20,"8,950",
Goshen County,"9,400","5,890","5,550",350,5.9,20,"3,490",
Hot Springs County,"3,840","2,470","2,430",50,2.0,0,"1,370",
Johnson County,"5,550","3,410","3,240",170,5.0,20,"2,110",
Laramie County,"59,900","38,750","36,870","1,880",4.9,"2,620","18,530",
Lincoln County,"10,610","6,760","6,500",260,3.8,10,"3,840",
Natrona County,"49,870","34,680","32,900","1,780",5.1,60,"15,140",
Niobrara County,"1,840","1,190","1,150",40,3.4,0,650,
Park County,"19,450","12,660","12,050",610,4.8,20,"6,780",
Platte County,"6,780","4,530","4,330",200,4.4,10,"2,240",
Sheridan County,"20,380","13,770","13,210",570,4.1,10,"6,600",
Sublette County,"4,510","3,190","3,030",150,4.7,10,"1,310",
Sweetwater County,"27,780","19,770","18,710","1,070",5.4,30,"7,970",
Teton County,"15,050","11,990","11,680",320,2.7,10,"3,040",
Uinta County,"13,720","10,020","9,370",640,6.4,10,"3,690",
Washakie County,"6,160","4,220","3,870",350,8.3,0,"1,940",
Weston County,"5,000","3,180","3,000",180,5.7,0,"1,820",
,,,,,,,,
Puerto Rico,"2,797,650","1,149,090","929,030","220,060",19.2,"2,980","1,645,580",
Adjuntas Municipio,"13,780","4,830","3,340","1,490",30.8,0,"8,950",
Aguada Municipio,"30,940","12,500","9,750","2,750",22.0,0,"18,440",
Aguadilla Municipio,"47,620","18,880","14,090","4,780",25.3,230,"28,510",
Aguas Buenas Municipio,"21,250","7,490","6,340","1,150",15.4,0,"13,760",
Aibonito Municipio,"19,240","7,080","5,440","1,640",23.2,10,"12,150",
Anasco Municipio,"21,070","8,890","6,810","2,080",23.4,0,"12,180",
Arecibo Municipio,"75,020","29,410","23,320","6,090",20.7,0,"45,610",
Arroyo Municipio,"13,780","5,200","3,460","1,730",33.3,0,"8,590",
Barceloneta Municipio,"16,390","6,460","4,930","1,540",23.8,0,"9,930",
Barranquitas Municipio,"19,720","6,990","5,220","1,760",25.2,0,"12,730",
Bayamon Municipio,"165,780","71,320","62,000","9,320",13.1,420,"94,050",
Cabo Rojo Municipio,"36,050","15,680","12,800","2,880",18.4,10,"20,360",
Caguas Municipio,"105,000","46,060","38,600","7,460",16.2,90,"58,850",
Camuy Municipio,"25,950","10,550","8,430","2,120",20.1,10,"15,390",
Canovanas Municipio,"31,020","11,960","9,440","2,520",21.1,20,"19,040",
Carolina Municipio,"141,270","65,180","56,960","8,210",12.6,200,"75,890",
